"","State","Lake","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2","Year"
"1","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",141.62302,"ng/g","ppb",2010
"2","IL","Lake Michigan","Oncorhynchus mykiss","Rainbow trout","Salmonidae","P","Total PCBs",162.9766,"ng/g","ppb",2010
"3","IL","Lake Michigan","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",658.72792,"ng/g","ppb",2010
"4","IN","Lake Michigan","Aplodinotus grunniens","Freshwater drum","Sciaenidae","P","Total PCBs",247.38202,"ng/g","ppb",2010
"5","IN","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",302.22631,"ng/g","ppb",2010
"6","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",33.19949,"ng/g","ppb",2010
"7","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",60.9134,"ng/g","ppb",2010
"8","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1264.63969,"ng/g","ppb",2010
"9","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",109.43401,"ng/g","ppb",2010
"10","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",58.59356,"ng/g","ppb",2010
"11","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",364.68245,"ng/g","ppb",2010
"12","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",274.52807,"ng/g","ppb",2010
"13","MI","Lake Superior","Catostomus catostomus","Longnose sucker","Catostomidae","BD","Total PCBs",26.12546,"ng/g","ppb",2010
"14","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Total PCBs",30.50485,"ng/g","ppb",2010
"15","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",49.9703,"ng/g","ppb",2010
"16","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",235.92083,"ng/g","ppb",2010
"17","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",661.1609,"ng/g","ppb",2010
"18","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",242.00957,"ng/g","ppb",2010
"19","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",201.9215,"ng/g","ppb",2010
"20","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1044.76477,"ng/g","ppb",2010
"21","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",182.04248,"ng/g","ppb",2010
"22","MI","Lake Superior","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",20.55655,"ng/g","ppb",2010
"23","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",506.65471,"ng/g","ppb",2010
"24","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",45.45803,"ng/g","ppb",2010
"25","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",1454.04271,"ng/g","ppb",2010
"26","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",54.35217,"ng/g","ppb",2010
"27","MI","Lake Superior","Salmo trutta","Brown trout","Salmonidae","P","Total PCBs",60.10918,"ng/g","ppb",2010
"28","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",255.32796,"ng/g","ppb",2010
"29","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",115.65105,"ng/g","ppb",2010
"30","MI","Lake Michigan","Prosopium cylindraceum","Round whitefish","Salmonidae","BD","Total PCBs",119.91313,"ng/g","ppb",2010
"31","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",59.81778,"ng/g","ppb",2010
"32","MI","Lake Michigan","Salvelinus namaycush","Lake trout","Salmonidae","P","Total PCBs",574.75453,"ng/g","ppb",2010
"33","MI","Lake Michigan","Oncorhynchus tshawytscha","Chinook salmon","Salmonidae","P","Total PCBs",230.92218,"ng/g","ppb",2010
"34","MI","Lake Michigan","Esox lucius","Northern pike","Esocidae","P","Total PCBs",122.9371,"ng/g","ppb",2010
"35","MI","Lake Michigan","Catostomus commersonii","White sucker","Catostomidae","BD","Total PCBs",54.29705,"ng/g","ppb",2010
